"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
69942,1080,1000000,0,1,1,1,1,1,1,0
69947,1085,1000000,0,1,1,1,1,1,1,1
69952,1090,1000000,0,1,1,1,1,0,0,0
69957,1095,1000000,0,1,1,1,1,0,0,1
69962,1100,1000000,0,1,1,1,1,0,0,0
69967,1105,1000000,0,1,1,1,1,0,0,1
69972,1110,1000000,0,1,1,1,1,1,1,1
70076,1214,1000000,0,1,1,1,1,0,0,1
70081,1219,1000000,0,1,1,1,1,0,0,0
70091,1229,1000000,0,1,1,1,1,0,0,1
70096,1234,1000000,0,1,1,1,1,1,1,0
70101,1239,1000000,0,1,1,1,1,1,1,1
70106,1244,1000000,0,1,1,1,1,0,0,0
70111,1249,1000000,0,1,1,1,1,0,0,1
70116,1254,1000000,0,1,1,1,1,1,1,0
70121,1259,1000000,0,1,1,1,1,1,1,1
70126,1264,1000000,0,1,1,1,1,0,0,0
70131,1269,1000000,0,1,1,1,1,0,0,1
70136,1274,1000000,0,1,1,1,1,0,0,0
70141,1279,1000000,0,1,1,1,1,0,0,1
70146,1284,1000000,0,1,1,1,1,1,1,0
70151,1289,1000000,0,1,1,1,1,1,1,1
70156,1294,1000000,0,1,1,1,1,0,0,0
70161,1299,1000000,0,1,1,1,1,0,0,1
70166,1304,1000000,0,1,1,1,1,0,0,0
70171,1309,1000000,0,1,1,1,1,0,0,1
70176,1314,1000000,0,1,1,1,1,0,0,0
70181,1319,1000000,0,1,1,1,1,0,0,1
70186,1324,1000000,0,1,1,1,1,0,0,0
70191,1329,1000000,0,1,1,1,1,0,0,1
70196,1334,1000000,0,1,1,1,1,0,0,0
70201,1339,1000000,0,1,1,1,1,0,0,1
70206,1344,1000000,0,1,1,1,1,0,0,0
70211,1349,1000000,0,1,1,1,1,0,0,1
70216,1354,1000000,0,1,1,1,1,1,1,0
70221,1359,1000000,0,1,1,1,1,1,1,1
70226,1364,1000000,0,1,1,1,1,1,1,0
70231,1369,1000000,0,1,1,1,1,1,1,1
70236,1374,1000000,0,1,1,1,1,1,1,0
70241,1379,1000000,0,1,1,1,1,1,1,1
70246,1384,1000000,0,1,1,1,1,1,1,0
70251,1389,1000000,0,1,1,1,1,1,1,1
70256,1394,1000000,0,1,1,1,1,0,0,0
70261,1399,1000000,0,1,1,1,1,0,0,1
70266,1404,1000000,0,1,1,1,1,0,0,0
70271,1409,1000000,0,1,1,1,1,0,0,1
70276,1414,1000000,0,1,1,1,1,1,1,1
70334,1472,1000000,0,1,1,1,1,0,0,1
70339,1477,1000000,0,1,1,1,1,0,0,0
70349,1487,1000000,0,1,1,1,1,0,0,1
70354,1492,1000000,0,1,1,1,1,0,0,0
70355,1493,1000000,0,1,1,1,1,1,1,0
70359,1497,1000000,0,1,1,1,1,1,1,1
70364,1502,1000000,0,1,1,1,1,0,0,0
70369,1507,1000000,0,1,1,1,1,0,0,1
70374,1512,1000000,0,1,1,1,1,0,0,0
70375,1513,1000000,0,1,1,1,1,1,1,0
70379,1517,1000000,0,1,1,1,1,1,1,1
70384,1522,1000000,0,1,1,1,1,0,0,0
70389,1527,1000000,0,1,1,1,1,0,0,1
70394,1532,1000000,0,1,1,1,1,0,0,0
70399,1537,1000000,0,1,1,1,1,0,0,1
70404,1542,1000000,0,1,1,1,1,0,0,0
70405,1543,1000000,0,1,1,1,1,1,1,0
70409,1547,1000000,0,1,1,1,1,1,1,1
70414,1552,1000000,0,1,1,1,1,0,0,0
70419,1557,1000000,0,1,1,1,1,0,0,1
70424,1562,1000000,0,1,1,1,1,0,0,0
70429,1567,1000000,0,1,1,1,1,0,0,1
