"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
82980,13300,1000000,0,1,1,1,1,1,0,1
82985,13305,1000000,0,1,1,1,1,1,1,0
82990,13310,1000000,0,1,1,1,1,1,1,1
82995,13315,1000000,0,1,1,1,1,1,0,0
83000,13320,1000000,0,1,1,1,1,1,0,1
83005,13325,1000000,0,1,1,1,1,1,0,0
83010,13330,1000000,0,1,1,1,1,1,0,1
83015,13335,1000000,0,1,1,1,1,1,1,0
83020,13340,1000000,0,1,1,1,1,1,1,1
83025,13345,1000000,0,1,1,1,1,1,0,0
83030,13350,1000000,0,1,1,1,1,1,0,1
83035,13355,1000000,0,1,1,1,1,1,0,0
83040,13360,1000000,0,1,1,1,1,1,0,1
83045,13365,1000000,0,1,1,1,1,1,0,0
83050,13370,1000000,0,1,1,1,1,1,0,1
83055,13375,1000000,0,1,1,1,1,1,0,0
83060,13380,1000000,0,1,1,1,1,1,0,1
83065,13385,1000000,0,1,1,1,1,1,0,0
83070,13390,1000000,0,1,1,1,1,1,0,1
83075,13395,1000000,0,1,1,1,1,1,0,0
83080,13400,1000000,0,1,1,1,1,1,0,1
83085,13405,1000000,0,1,1,1,1,1,0,0
83090,13410,1000000,0,1,1,1,1,1,0,1
83095,13415,1000000,0,1,1,1,1,1,0,0
83100,13420,1000000,0,1,1,1,1,1,0,1
83105,13425,1000000,0,1,1,1,1,1,0,0
83110,13430,1000000,0,1,1,1,1,1,0,1
83115,13435,1000000,0,1,1,1,1,1,0,0
83120,13440,1000000,0,1,1,1,1,1,0,1
83125,13445,1000000,0,1,1,1,1,1,0,0
83130,13450,1000000,0,1,1,1,1,1,0,1
83135,13455,1000000,0,1,1,1,1,1,0,0
83140,13460,1000000,0,1,1,1,1,1,0,1
83145,13465,1000000,0,1,1,1,1,1,0,0
83150,13470,1000000,0,1,1,1,1,1,0,1
83155,13475,1000000,0,1,1,1,1,1,0,0
83160,13480,1000000,0,1,1,1,1,1,0,1
83165,13485,1000000,0,1,1,1,1,1,1,0
83170,13490,1000000,0,1,1,1,1,1,1,1
83175,13495,1000000,0,1,1,1,1,1,1,0
83180,13500,1000000,0,1,1,1,1,1,1,1
83185,13505,1000000,0,1,1,1,1,1,0,0
83190,13510,1000000,0,1,1,1,1,1,0,1
83195,13515,1000000,0,1,1,1,1,1,0,0
83200,13520,1000000,0,1,1,1,1,1,0,1
83205,13525,1000000,0,1,1,1,1,1,1,1
83837,14157,1000000,0,1,1,1,1,1,0,1
83842,14162,1000000,0,1,1,1,1,1,0,0
83852,14172,1000000,0,1,1,1,1,1,0,1
83857,14177,1000000,0,1,1,1,1,1,0,0
83858,14178,1000000,0,1,1,1,1,1,1,0
83862,14182,1000000,0,1,1,1,1,1,1,1
83867,14187,1000000,0,1,1,1,1,1,0,0
83872,14192,1000000,0,1,1,1,1,1,0,1
83877,14197,1000000,0,1,1,1,1,1,0,0
83878,14198,1000000,0,1,1,1,1,1,1,0
83882,14202,1000000,0,1,1,1,1,1,1,1
83887,14207,1000000,0,1,1,1,1,1,0,0
83892,14212,1000000,0,1,1,1,1,1,0,1
83897,14217,1000000,0,1,1,1,1,1,0,0
83902,14222,1000000,0,1,1,1,1,1,0,1
83907,14227,1000000,0,1,1,1,1,1,0,0
83908,14228,1000000,0,1,1,1,1,1,1,0
83912,14232,1000000,0,1,1,1,1,1,1,1
83917,14237,1000000,0,1,1,1,1,1,0,0
83922,14242,1000000,0,1,1,1,1,1,0,1
83927,14247,1000000,0,1,1,1,1,1,0,0
83932,14252,1000000,0,1,1,1,1,1,0,1
83937,14257,1000000,0,1,1,1,1,1,1,0
83942,14262,1000000,0,1,1,1,1,1,1,1
83947,14267,1000000,0,1,1,1,1,1,0,0
83952,14272,1000000,0,1,1,1,1,1,0,1
83957,14277,1000000,0,1,1,1,1,1,0,0
83962,14282,1000000,0,1,1,1,1,1,0,1
83967,14287,1000000,0,1,1,1,1,1,0,0
83972,14292,1000000,0,1,1,1,1,1,0,1
83977,14297,1000000,0,1,1,1,1,1,0,0
83982,14302,1000000,0,1,1,1,1,1,0,1
83987,14307,1000000,0,1,1,1,1,1,0,0
83992,14312,1000000,0,1,1,1,1,1,0,1
83997,14317,1000000,0,1,1,1,1,1,0,0
84002,14322,1000000,0,1,1,1,1,1,0,1
84007,14327,1000000,0,1,1,1,1,1,0,0
84012,14332,1000000,0,1,1,1,1,1,0,1
84017,14337,1000000,0,1,1,1,1,1,0,0
84022,14342,1000000,0,1,1,1,1,1,0,1
84027,14347,1000000,0,1,1,1,1,1,0,0
84032,14352,1000000,0,1,1,1,1,1,0,1
84037,14357,1000000,0,1,1,1,1,1,1,1
84053,14373,1000000,0,1,1,1,1,1,0,1
84058,14378,1000000,0,1,1,1,1,1,0,0
84068,14388,1000000,0,1,1,1,1,1,0,1
84073,14393,1000000,0,1,1,1,1,1,1,0
84078,14398,1000000,0,1,1,1,1,1,1,1
84083,14403,1000000,0,1,1,1,1,1,0,0
84088,14408,1000000,0,1,1,1,1,1,0,1
84093,14413,1000000,0,1,1,1,1,1,1,0
84098,14418,1000000,0,1,1,1,1,1,1,1
84103,14423,1000000,0,1,1,1,1,1,0,0
84108,14428,1000000,0,1,1,1,1,1,0,1
84113,14433,1000000,0,1,1,1,1,1,0,0
84118,14438,1000000,0,1,1,1,1,1,0,1
84123,14443,1000000,0,1,1,1,1,1,1,0
84128,14448,1000000,0,1,1,1,1,1,1,1
84133,14453,1000000,0,1,1,1,1,1,1,0
84138,14458,1000000,0,1,1,1,1,1,1,1
84143,14463,1000000,0,1,1,1,1,1,0,0
84148,14468,1000000,0,1,1,1,1,1,0,1
84153,14473,1000000,0,1,1,1,1,1,0,0
84158,14478,1000000,0,1,1,1,1,1,0,1
84163,14483,1000000,0,1,1,1,1,1,0,0
84168,14488,1000000,0,1,1,1,1,1,0,1
84173,14493,1000000,0,1,1,1,1,1,0,0
84178,14498,1000000,0,1,1,1,1,1,0,1
84183,14503,1000000,0,1,1,1,1,1,0,0
84188,14508,1000000,0,1,1,1,1,1,0,1
84193,14513,1000000,0,1,1,1,1,1,0,0
84198,14518,1000000,0,1,1,1,1,1,0,1
84203,14523,1000000,0,1,1,1,1,1,0,0
